muestra,DBO
1,37.88912746
2,36.58653043
3,44.80932423
4,41.19287071
5,37.33109852
6,37.44106881
7,39.32032998
8,32.47798421
9,45.11750287
10,42.80246035
11,42.75833727
12,45.61522442
13,45.66893152
14,44.68848574
15,33.04880799
16,40.69349015
17,31.27397114
18,41.62660576
19,39.63505045
20,37.46151169
21,42.01236414
22,32.62106661
23,30.63916669
24,43.03697132
25,33.76261738
26,44.05762181
27,41.16458443
28,40.49505243
29,49.22026626
30,35.37310198
31,41.67594829
32,42.04654306
33,40.03020608
34,42.33720304
35,45.60904408
36,35.46792974
37,39.90497557
38,45.4641429
39,45.7110944
40,38.18176684
41,36.81125085
42,50.39774415
43,50.28654553
44,42.4075096
45,42.71507674
46,38.15983465
47,44.50120343
48,40.61801752
49,41.06067935
50,44.97090916
